Folder,ours_DINOv2,ours_CLIP,ours_DINOv3,CCPL_DINOv2,CCPL_CLIP,CCPL_DINOv3,MCCNet_DINOv2,MCCNet_CLIP,MCCNet_DINOv3,CSBNet_DINOv2,CSBNet_CLIP,CSBNet_DINOv3
theo_van_stylized_india,0.9185,0.9321,0.9292,0.9242,0.9287,0.9207,0.8682,0.9658,0.8724,0.9014,0.9448,0.9087
theo_van_stylized_kid_football,0.7692,0.9019,0.8433,0.7829,0.9263,0.8103,0.7491,0.9233,0.8048,0.7900,0.9053,0.8053
theo_van_stylized_rally,0.7558,0.9409,0.6986,0.7367,0.8921,0.6762,0.7536,0.9268,0.6835,0.7669,0.9316,0.6184
theo_van_stylized_street,0.9624,0.9824,0.9504,0.9709,0.9775,0.9631,0.9372,0.9824,0.9500,0.9685,0.9844,0.9303
theo_van_stylized_violin1,0.9689,0.9663,0.9363,0.9560,0.9629,0.9476,0.7766,0.9614,0.9208,0.9649,0.9321,0.9436
theo_van_stylized_walk,0.8927,0.9370,0.8850,0.8845,0.9414,0.8497,0.8608,0.9380,0.8535,0.8560,0.9097,0.8664
vaydelots_stylized_city_ferry,0.9267,0.9751,0.9298,0.9196,0.9771,0.9641,0.8420,0.9727,0.9196,0.9118,0.9741,0.9450
vaydelots_stylized_city_night,0.9746,0.9756,0.9708,0.9657,0.9731,0.9756,0.9600,0.9761,0.9765,0.9568,0.9717,0.9764
vaydelots_stylized_color_run,0.8521,0.9463,0.9081,0.8546,0.9111,0.8349,0.8604,0.9326,0.8709,0.8515,0.9409,0.8606
vaydelots_stylized_fruit_water,0.7831,0.9302,0.7889,0.8058,0.9238,0.8144,0.8228,0.9355,0.7859,0.7941,0.9233,0.8000
vaydelots_stylized_india,0.9497,0.9688,0.9346,0.9405,0.9507,0.9501,0.9103,0.9580,0.9297,0.9397,0.9575,0.9386
vaydelots_stylized_kid_football,0.7874,0.9136,0.8400,0.7995,0.9058,0.8320,0.7915,0.8945,0.8266,0.7946,0.9048,0.8325
vaydelots_stylized_rally,0.8128,0.9463,0.6562,0.7873,0.9341,0.6686,0.8017,0.9468,0.6469,0.7863,0.9360,0.6469
vaydelots_stylized_street,0.9569,0.9814,0.9570,0.9651,0.9814,0.9503,0.9631,0.9775,0.9294,0.9553,0.9805,0.9324
vaydelots_stylized_violin1,0.9763,0.9692,0.9523,0.9635,0.9600,0.9608,0.9737,0.9678,0.9484,0.9792,0.9619,0.9619
vaydelots_stylized_walk,0.8602,0.9277,0.8112,0.8678,0.9180,0.8170,0.8050,0.9385,0.7714,0.8285,0.9229,0.7339
wave_stylized_city_ferry,0.9488,0.9707,0.9552,0.9267,0.9751,0.9654,0.9094,0.9771,0.9485,0.8946,0.9741,0.9514
wave_stylized_city_night,0.9800,0.9746,0.9834,0.9613,0.9785,0.9765,0.9554,0.9736,0.9767,0.9515,0.9707,0.9707
wave_stylized_color_run,0.8565,0.9385,0.8556,0.8561,0.9238,0.8346,0.8390,0.9272,0.8268,0.8292,0.9243,0.8456
wave_stylized_fruit_water,0.8100,0.9502,0.8418,0.7805,0.9487,0.8067,0.7659,0.9292,0.8128,0.8079,0.9282,0.8246
wave_stylized_india,0.9335,0.9648,0.9131,0.9032,0.9463,0.9354,0.9243,0.9585,0.9286,0.9265,0.9512,0.9248
wave_stylized_kid_football,0.8198,0.8975,0.8454,0.7993,0.8877,0.8283,0.7674,0.9077,0.8119,0.7909,0.8970,0.8133
wave_stylized_rally,0.7879,0.9248,0.6572,0.7522,0.9165,0.6614,0.8138,0.9180,0.6570,0.7919,0.9399,0.6117
wave_stylized_street,0.9724,0.9785,0.9511,0.9674,0.9805,0.9496,0.9645,0.9858,0.9359,0.9721,0.9819,0.9234
wave_stylized_violin1,0.9778,0.9692,0.9597,0.9636,0.9678,0.9529,0.9554,0.9653,0.9365,0.9717,0.9448,0.9541
wave_stylized_walk,0.8807,0.9263,0.8337,0.8849,0.9087,0.7973,0.8419,0.9258,0.7753,0.8376,0.9014,0.7506
